,Date,cn,de,fi,gb,ru,se
0,2017-01-01,National holiday,National holiday,National holiday,Hebrew,National holiday,National holiday
1,2017-01-02,Common local holiday,,,National holiday,National holiday,
2,2017-01-03,,,,Local holiday,National holiday,
3,2017-01-04,,,,,National holiday,
4,2017-01-05,,,,,National holiday,Observance
5,2017-01-06,,Christian,National holiday,Christian,National holiday,National holiday
6,2017-01-07,,,,Orthodox,National holiday,
7,2017-01-14,,,,Orthodox,Observance,
8,2017-01-22,Weekend,Observance,,,,
9,2017-01-25,,,,Local observance,,
10,2017-01-27,National holiday,Observance,,,,
11,2017-01-28,National holiday,Observance,,Observance,,
12,2017-01-29,National holiday,,,,,
13,2017-01-30,Common local holiday,,,,,
14,2017-01-31,Common local holiday,,,,,
15,2017-02-01,Common local holiday,,,,,
16,2017-02-02,Common local holiday,,,,,
17,2017-02-04,Weekend,,,,,
18,2017-02-10,,Observance,,,,
19,2017-02-11,Observance,,,Hebrew,,
20,2017-02-14,,Observance,Observance,Observance,Observance,Observance
21,2017-02-23,,,,,National holiday,
22,2017-02-24,,,,Hinduism,National holiday,
23,2017-02-27,Observance,Observance,,,Observance,
24,2017-02-28,,Observance,,Christian,,
25,2017-03-01,,Observance,,Local holiday,,
26,2017-03-08,Observance,Observance,,,National holiday,
27,2017-03-12,Observance,,,21.0,,
28,2017-03-17,,Observance,,Local holiday,,
29,2017-03-20T10:28:39+00:00,,,,Season,,
30,2017-03-20T11:28:39+01:00,,Season,,,,Season
31,2017-03-20T12:28:39+02:00,,,Season,,,
32,2017-03-20T13:28:39+03:00,,,,,Season,
33,2017-03-20T18:28:39+08:00,Season,,,,,
34,2017-03-26,,,,Observance,,
35,2017-03-26T01:00:00+00:00,,,,Clock change/Daylight Saving Time,,
36,2017-03-26T02:00:00+01:00,,Clock change/Daylight Saving Time,,,,Clock change/Daylight Saving Time
37,2017-04-01,Weekend,,,,,
38,2017-04-02,National holiday,,,,,
39,2017-04-03,National holiday,,,,,
40,2017-04-04,National holiday,,,,,
41,2017-04-09,,Observance,,Christian,,
42,2017-04-11,,,,Hebrew,,
43,2017-04-13,,Observance,,Christian,,
44,2017-04-14,,National holiday,National holiday,Orthodox,,National holiday
45,2017-04-15,,,,17.0,,Observance
